,countries,const_form,head_of_state
0,Afghanistan,Republic,Executive
1,Albania,Republic,Ceremonial
2,Algeria,Republic,Executive
3,Andorra,Constitutional monarchy,Ceremonial
4,Angola,Republic,Executive
5,Antigua and Barbuda,Constitutional monarchy,Ceremonial
6,Argentina,Republic,Executive
7,Armenia,Republic,Ceremonial
8,Australia,Constitutional monarchy,Ceremonial
9,Austria,Republic,Ceremonial
10,Azerbaijan,Republic,Executive
11,"Bahamas, The",Constitutional monarchy,Ceremonial
12,Bahrain,Constitutional monarchy,Executive
13,Bangladesh,Republic,Ceremonial
14,Barbados,Constitutional monarchy,Ceremonial
15,Belarus,Republic,Executive
16,Belgium,Constitutional monarchy,Ceremonial
17,Belize,Constitutional monarchy,Ceremonial
18,Benin,Republic,Executive
19,Bhutan,Constitutional monarchy,Executive
20,Bolivia,Republic,Executive
21,Bosnia and Herzegovina,Republic,Ceremonial
22,Botswana,Republic,Executive
23,Brazil,Republic,Executive
24,Brunei,Absolute monarchy,Executive
25,Bulgaria,Republic,Ceremonial
26,Burkina Faso,Republic,Executive
27,Burundi,Republic,Executive
28,Cambodia,Constitutional monarchy,Ceremonial
29,Cameroon,Republic,Executive
30,Canada,Constitutional monarchy,Ceremonial
31,Cape Verde,Republic,Executive
32,Central African Republic,Republic,Executive
33,Chad,Republic,Executive
34,Chile,Republic,Executive
35,"China, People's Republic of",Republic,Executive
36,Colombia,Republic,Executive
37,Comoros,Republic,Executive
38,"Congo, Democratic Republic of the",Republic,Executive
39,"Congo, Republic of the",Republic,Executive
40,Costa Rica,Republic,Executive
41,Côte d'Ivoire,Republic,Executive
42,Croatia,Republic,Ceremonial
43,Cuba,Republic,Executive
44,Cyprus,Republic,Executive
45,Czech Republic,Republic,Ceremonial
46,Denmark,Constitutional monarchy,Ceremonial
47,Djibouti,Republic,Executive
48,Dominica,Republic,Ceremonial
49,Dominican Republic,Republic,Executive
50,East Timor,Republic,Executive
51,Ecuador,Republic,Executive
52,Egypt,Republic,Executive
53,El Salvador,Republic,Executive
54,Equatorial Guinea,Republic,Executive
55,Eritrea,Republic,Executive
56,Estonia,Republic,Ceremonial
57,Eswatini,Absolute monarchy,Executive
58,Ethiopia,Republic,Ceremonial
59,Federated States of Micronesia,Republic,Executive
60,Fiji,Republic,Ceremonial
61,Finland,Republic,Ceremonial
